Sr.No.,Locality,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
1754,Rajendra Nagar,-87.37807196,3.214943118,63.01136292,4G,-91.04415959,-94.6716186,-89.31383091
1755,Fraser Road,-95.5781342,79.684045,39.70486917,5G,-93.40483804,-102.5120198,-93.70169393
1756,Kidwaipuri,-91.39218573,17.36967576,18.94729565,5G,-87.69809242,-96.83943784,-91.87318417
1757,Bailey Road,-82.60264272,1.722197819,182.6557712,LTE,-86.12200651,-88.06467123,-83.79545765
1758,Rajendra Nagar,-88.11575993,1.186758942,101.4933935,LTE,-91.84268951,-94.42586229,-88.3179015
1759,Gardanibagh,-87.95530071,2.433281722,114.5852953,LTE,-84.52760234,-97.0529514,-86.15962417
1760,Danapur,-84.88771597,91.18607891,35.57397369,5G,-80.00519796,-93.38645888,-86.68550153
1761,Anisabad,-94.83785855,2.757329485,131.1866,LTE,-94.38070985,-100.2788846,-95.82971792
1762,Exhibition Road,-88.15227629,2.266344365,192.1586392,LTE,-88.1881688,-93.51015279,-89.02767195
1763,Phulwari Sharif,-93.56976966,93.74075117,43.38751599,5G,-93.88531247,-100.7041752,-92.29590892
1764,Fraser Road,-83.85393254,2.809569052,148.6249049,LTE,-79.23787681,-91.2544149,-86.11886985
1765,Boring Canal Road,-93.38038126,4.952174737,74.5713161,4G,-90.76873397,-98.73445309,-92.74984121
1766,Gandhi Maidan,-96.4281177,54.14366077,44.60318845,5G,-93.39677413,-103.9484698,-94.71435557
1767,Danapur,-97.13352097,57.541559,14.91519768,5G,-93.97442976,-105.5480968,-94.60476176
1768,Anisabad,-103.6052642,91.14991724,15.30055927,5G,-102.2850192,-109.95104,-102.4143235
1769,Kumhrar,-86.77040588,1.727282163,158.5712216,LTE,-87.73686419,-95.08519708,-85.40456897
1770,Gandhi Maidan,-88.93694407,1.096832898,133.3165238,LTE,-89.68835372,-96.40138858,-91.91774856
1771,Kidwaipuri,-86.98805751,62.15376694,18.87287406,5G,-89.91048866,-96.80306686,-87.42977222
1772,Danapur,-88.59020117,8.705786318,92.60208337,4G,-87.77154842,-95.50600572,-87.33445552
1773,Bailey Road,-98.24898346,32.43379956,15.96661543,5G,-103.2389411,-105.6742796,-98.96233744
1774,Rajendra Nagar,-98.68739309,80.45750911,34.16030758,5G,-97.01226247,-104.8583952,-98.32368627
1775,Pataliputra,-94.92667139,43.86373556,46.71093004,5G,-95.197795,-100.6823063,-96.14304259
1776,Kankarbagh,-93.90423674,5.742957227,50.16437216,4G,-92.50655222,-99.56386481,-91.04667566
1777,Gandhi Maidan,-92.78109088,2.920981895,123.2066188,LTE,-92.89744045,-97.87860934,-90.33826303
1778,Rajendra Nagar,-87.95789774,2.310012426,199.8839808,LTE,-90.52541882,-93.36226256,-89.13045711
1779,Kankarbagh,-85.16213752,2.14305983,130.6653392,LTE,-80.5334355,-90.73161652,-86.48920913
1780,Anisabad,-88.5723872,2.778601743,119.8919597,LTE,-84.92449381,-94.8269702,-86.54068174
1781,Kumhrar,-87.87788286,8.242353503,81.42219351,4G,-92.71796264,-94.88157793,-90.00020401
1782,Pataliputra,-86.73802192,9.411835086,56.15049298,4G,-84.68867193,-96.68992098,-88.26089863
1783,Kidwaipuri,-92.64858461,4.37185203,80.20090463,4G,-92.06857844,-100.6161018,-93.88230793
1784,Bankipore,-102.1641935,26.56653936,27.34255874,5G,-99.50141492,-108.3287693,-103.7388577
1785,Phulwari Sharif,-88.63749942,1.52026881,141.97901,LTE,-89.45557014,-93.97633455,-91.57532534
1786,S.K. Puri,-92.40732718,4.2685595,84.87486759,4G,-88.53438361,-99.7557707,-92.49114899
1787,Pataliputra,-100.5046892,32.29741944,22.97328001,5G,-101.557005,-107.5902945,-100.4129812
1788,Fraser Road,-94.28912501,65.26636863,18.01104151,5G,-97.83963166,-101.6332853,-93.12607802
1789,Phulwari Sharif,-102.5456498,85.06138932,11.3548646,5G,-106.8124587,-109.3053915,-103.1068319
1790,Gardanibagh,-79.19648943,91.71215399,29.93184408,5G,-76.25923697,-87.5430473,-76.45113303
1791,Gandhi Maidan,-91.48366719,87.01217693,31.14844023,5G,-89.71494053,-97.98207997,-90.63711696
1792,Boring Canal Road,-96.1479952,57.03331718,32.84250515,5G,-96.52579749,-101.8003607,-98.92191673
1793,Kankarbagh,-100.1062175,94.24492934,43.34688568,5G,-99.45455774,-107.2868564,-102.7693384
1794,Exhibition Road,-94.4874102,8.550707092,53.77085618,4G,-93.68165344,-102.7668959,-97.38148506
1795,Anandpuri,-87.85514028,1.311769836,132.9915429,LTE,-86.94306398,-94.17082432,-89.25805145
1796,Gardanibagh,-92.41641522,7.22501776,71.3342802,4G,-96.44951128,-98.38626819,-94.26994647
1797,S.K. Puri,-88.78425199,53.16127381,25.87438354,5G,-84.85760598,-94.09206607,-87.74528249
1798,Danapur,-90.44504359,8.352145753,74.25286968,4G,-87.01100929,-98.64085741,-89.22436681
1799,Boring Road,-90.91035611,1.203377203,175.9171402,LTE,-92.9597494,-100.0020357,-88.13468991
1800,Fraser Road,-87.40086672,2.47263879,118.1357849,LTE,-89.93867957,-96.10638377,-84.76200521
1801,Kumhrar,-91.24152084,88.12795867,42.58203843,5G,-93.65253168,-97.22043863,-91.76146137
1802,Gardanibagh,-99.03297719,66.67355365,14.39299932,5G,-101.1839363,-107.5280614,-99.76420829
1803,Gardanibagh,-86.85732155,4.365520744,53.9637239,4G,-88.52763046,-95.22874007,-85.86676644
1804,Patliputra Colony,-92.93652275,50.77506647,37.68364156,5G,-96.2083202,-100.1840904,-92.22896073
1805,Bailey Road,-94.833091,70.09748556,24.95264577,5G,-93.21265186,-102.261664,-97.62047041
1806,Patliputra Colony,-91.13423588,4.694749438,77.34692236,4G,-87.73519392,-99.21763124,-90.12187687
1807,Fraser Road,-82.23007034,3.881403954,98.20529277,4G,-78.01246698,-89.23388409,-84.8777376
1808,Kumhrar,-87.2291467,2.299544966,173.8015857,LTE,-89.10492493,-96.00406912,-87.78005759
1809,Bailey Road,-87.6517972,91.74116443,22.46674407,5G,-90.6449979,-96.32276217,-89.19292694
1810,S.K. Puri,-86.3413978,50.97777771,18.37575127,5G,-81.43257814,-95.4811265,-83.80977204
1811,Kankarbagh,-91.96470968,2.781936665,101.6819654,LTE,-94.68032274,-98.48964568,-91.91438257
1812,Kankarbagh,-82.93597343,3.278345949,73.76967129,4G,-83.72982833,-91.92480914,-82.41485075
1813,Anandpuri,-88.41216921,32.53618088,22.13691775,5G,-90.98061728,-95.55136486,-90.0555177
1814,Kidwaipuri,-93.83960956,9.983987373,72.61604585,4G,-98.32238732,-102.9591925,-93.64472435
1815,Exhibition Road,-106.8351634,60.36746518,19.64907818,5G,-107.5555863,-113.7229374,-108.478002
1816,Anandpuri,-91.11617765,48.91875785,37.12153512,5G,-89.8389023,-100.5946599,-89.62861243
1817,Rajendra Nagar,-95.15870447,70.82077142,39.13879664,5G,-93.870306,-100.7010787,-96.42973674
1818,Boring Canal Road,-88.38561109,4.806304512,91.60113326,4G,-87.2874687,-94.50967851,-88.52268198
1819,Anisabad,-104.083568,27.67488407,21.65487292,5G,-102.583763,-113.5953218,-105.0863817
1820,Exhibition Road,-90.6799246,2.297193783,114.8175547,LTE,-86.98536338,-100.3501756,-87.75764458
1821,Exhibition Road,-106.1798961,30.48002407,41.20039549,5G,-104.6892694,-114.3454441,-109.0936162
1822,Bailey Road,-89.3415642,8.307716596,84.48298927,4G,-88.41303385,-98.28692344,-87.17083261
1823,Boring Road,-93.13298675,23.56709091,49.3605294,5G,-88.43039488,-99.85306999,-91.88977102
1824,Anisabad,-92.01487518,1.438826612,133.3190001,LTE,-95.73430163,-98.48305154,-93.47935379
1825,Rajendra Nagar,-91.04144336,2.906365838,106.5833177,LTE,-86.96633094,-99.42524748,-92.5621635
1826,Patliputra Colony,-94.33789296,3.890498804,78.2648297,4G,-93.8224205,-100.5657657,-93.5329738
1827,Fraser Road,-86.13759048,71.39097087,23.11628625,5G,-84.04351397,-94.39654094,-87.80559484
1828,Anisabad,-94.01092133,5.938318088,87.95076615,4G,-93.91316583,-100.170595,-94.99084599
1829,Boring Road,-100.182033,8.515353646,75.08204133,4G,-98.82082779,-109.2589274,-98.01303245
1830,Danapur,-88.44208671,3.173924881,55.82395749,4G,-84.01516762,-97.96567415,-87.85673287
1831,Fraser Road,-98.96284125,5.273431937,51.31835009,4G,-94.68349154,-104.6057272,-99.60712438
1832,Anandpuri,-92.36062028,1.63201847,100.5034636,LTE,-88.12214715,-100.8909248,-94.27749973
1833,Patliputra Colony,-93.85127653,9.980351275,97.95340248,4G,-97.82720163,-100.5756761,-91.43167517
1834,Gardanibagh,-91.45437658,4.498524368,67.02329293,4G,-88.57080541,-98.33142368,-92.86520976
1835,Boring Road,-88.59468998,4.449600033,51.88787121,4G,-90.14266171,-95.17977015,-86.99551303
1836,Anandpuri,-93.81441075,2.555632171,199.9067561,LTE,-97.26379566,-99.97498843,-95.93197219
1837,Anisabad,-88.70921375,2.219557454,155.4861623,LTE,-86.88451128,-97.26270251,-91.38572171
1838,Kankarbagh,-89.886259,5.610339856,82.43247793,4G,-87.87246288,-95.45459788,-87.43324676
1839,Anisabad,-91.41497873,2.546175189,111.6894298,LTE,-91.15829032,-101.3055514,-91.97735228
1840,Gardanibagh,-84.18298726,2.402441147,107.0804314,LTE,-80.85624919,-89.46569243,-81.39426523
1841,S.K. Puri,-86.23736307,1.928521227,151.8186473,LTE,-83.4343055,-92.07118819,-85.34719426
1842,Kidwaipuri,-94.76580702,31.64750198,12.55323178,5G,-99.21511688,-103.5592786,-97.54056051
1843,Patliputra Colony,-89.94366966,2.50310038,137.2559879,LTE,-86.33726897,-97.84204052,-87.33293153
1844,Patliputra Colony,-94.60976739,13.45284517,46.62457297,5G,-98.38210882,-101.4441586,-95.204324
1845,Gardanibagh,-96.89304242,57.16767344,10.0297726,5G,-99.9937193,-106.0147923,-98.37296133
1846,Ashok Rajpath,-93.59514888,7.287451645,88.30620585,4G,-95.08222612,-100.4443216,-95.37134426
1847,Phulwari Sharif,-93.74403649,47.46412353,31.532682,5G,-91.27588245,-100.1801093,-92.79537851
1848,Patliputra Colony,-82.78751209,1.368211412,119.9508659,LTE,-86.0120344,-88.75619373,-84.89715379
1849,Gardanibagh,-86.17296344,1.828493573,132.1068544,LTE,-82.91759701,-92.73821074,-87.11166332
1850,Danapur,-87.78378479,5.657784291,79.12285935,4G,-86.5678942,-95.59717497,-87.73848934
1851,Rajendra Nagar,-96.18188646,2.525617612,176.1924784,LTE,-98.5132452,-104.2587351,-98.33621749
1852,Phulwari Sharif,-87.15488236,2.682174674,163.9897238,LTE,-88.69836128,-96.60848327,-84.75325978
1853,Kidwaipuri,-98.7401954,6.040147341,84.59230473,4G,-101.6455804,-105.7068932,-101.4756147
1854,Anandpuri,-105.4408342,94.78100698,47.18740651,5G,-104.4628049,-112.8438519,-106.8270019
1855,Anisabad,-91.12218882,63.52384597,14.70158485,5G,-92.84958173,-100.6582491,-92.31000225
1856,Kumhrar,-89.14027438,12.96970851,29.71673063,5G,-89.65874569,-94.7912546,-91.10740177
1857,Anandpuri,-93.56380814,2.007622049,143.8865642,LTE,-91.99767243,-101.2155786,-93.57320244
1858,Bailey Road,-87.77951893,5.863756236,98.21571495,4G,-89.09165397,-95.327248,-89.28857422
1859,Patliputra Colony,-90.65865069,44.62379857,11.7530149,5G,-92.06057223,-98.83162988,-88.81817709
1860,Kidwaipuri,-95.88553284,46.32351754,47.90344746,5G,-95.67202664,-105.4824698,-97.24117377
1861,Ashok Rajpath,-99.45311289,2.298683087,124.3711276,LTE,-99.54923231,-107.1582462,-99.25258995
1862,Phulwari Sharif,-92.52670047,8.979449586,85.58566772,4G,-89.47844971,-98.54606696,-93.38063047
1863,Gardanibagh,-90.8068823,4.454481865,96.82731753,4G,-87.12668318,-96.95594162,-92.55027716
1864,Kumhrar,-93.01666635,87.20917698,13.88813331,5G,-97.97636229,-99.5815571,-92.43285406
1865,Kankarbagh,-95.96252634,2.111960501,134.4041551,LTE,-96.67513308,-102.8656673,-97.69365474
1866,Pataliputra,-98.04237152,38.5521937,34.28251544,5G,-96.95500624,-107.5590527,-96.9796615
1867,Kumhrar,-90.67547415,2.244192585,106.4912071,LTE,-90.15042059,-99.96921364,-90.2224998
1868,Kidwaipuri,-91.54981439,5.067499982,86.58205598,4G,-93.87112832,-99.23792823,-91.42896154
1869,Gandhi Maidan,-92.38949655,2.874829813,167.1932241,LTE,-96.27906112,-98.08672857,-92.50406744
1870,Anisabad,-88.73487829,8.763949124,53.43056512,4G,-88.19784514,-94.5763599,-89.22313882
1871,Rajendra Nagar,-94.33451631,92.51907896,36.06842643,5G,-90.99284516,-103.5068877,-93.09538753
1872,Boring Canal Road,-86.23955434,1.067814321,188.3611071,LTE,-86.1668197,-92.31213754,-83.54764374
1873,Phulwari Sharif,-87.31395875,3.77055022,74.53974353,4G,-83.16891321,-93.99101862,-87.0561606
1874,Gardanibagh,-91.14578768,31.75760663,11.59447894,5G,-93.30427528,-98.68125354,-89.08517159
1875,Bailey Road,-94.00588205,1.690806466,123.0962507,LTE,-98.61725679,-99.47331384,-95.60863743
1876,Ashok Rajpath,-90.6640243,2.157758729,101.938027,LTE,-91.37257526,-97.57955351,-91.37826542
1877,Boring Road,-88.41618674,7.820835634,61.84954153,4G,-86.27736859,-95.41506256,-89.56089643
1878,Pataliputra,-91.24040514,2.749047971,151.5616282,LTE,-89.72135553,-99.11062938,-89.02003103
1879,Gandhi Maidan,-97.21396607,6.673330253,92.21713654,4G,-97.47297943,-104.4787027,-99.99337365
1880,Boring Road,-88.7877245,2.384628447,111.8486634,LTE,-85.69531224,-94.11111587,-89.4434176
1881,Danapur,-88.68274289,5.899432585,89.60126877,4G,-83.68412752,-96.39872057,-87.57263817
1882,Kumhrar,-97.02440543,1.524222359,162.292571,LTE,-93.8924213,-106.707506,-99.36456383
1883,Kumhrar,-92.95930944,1.885525984,107.955664,LTE,-92.69816324,-98.9458864,-90.08832986
1884,Kankarbagh,-92.02469503,1.361958445,102.4502768,LTE,-91.71662128,-98.46513372,-90.72618443
1885,Kumhrar,-94.18926651,4.460040881,69.74101892,4G,-99.0991565,-100.0420331,-94.88690871
1886,Danapur,-87.8348369,46.69003829,31.50020822,5G,-85.25822395,-93.63678948,-86.67275106
1887,Exhibition Road,-91.87002678,1.061730588,113.961553,LTE,-87.67633807,-100.0496808,-89.58877681
1888,Kumhrar,-90.33711541,75.7367276,23.4968336,5G,-85.97554059,-96.07712728,-87.60991303
1889,Phulwari Sharif,-94.41707966,1.640289295,138.330066,LTE,-93.39161327,-103.7830398,-92.95621092
1890,Exhibition Road,-86.95445028,8.815873931,82.40845375,4G,-90.98535543,-91.96484843,-86.26164946
1891,Anisabad,-91.51509704,9.042316231,69.6987032,4G,-93.40597683,-97.46885678,-93.28414839
1892,Boring Canal Road,-89.81439188,2.713711476,147.2408014,LTE,-93.15768834,-97.94840763,-86.88406772
1893,Phulwari Sharif,-94.1364388,2.606419329,150.0463581,LTE,-96.0723591,-99.94370814,-95.38733324
1894,Gardanibagh,-107.4982048,13.7221473,43.03470375,5G,-104.6970776,-116.1089129,-106.8142339
1895,Pataliputra,-93.0614834,1.810931162,175.9576681,LTE,-91.65745202,-101.2559875,-93.46803871
1896,Gardanibagh,-97.65625616,34.63043263,22.57284919,5G,-96.48753914,-104.3304887,-100.4971554
1897,Boring Canal Road,-89.92355096,1.696535755,177.8875349,LTE,-93.50256033,-97.35900511,-89.77650007
1898,Kumhrar,-94.96567433,5.33889206,57.2242451,4G,-94.60447806,-100.8630944,-97.8514552
1899,Exhibition Road,-87.96846039,9.007821732,74.54629114,4G,-91.90697291,-95.0914242,-86.04287216
1900,Kumhrar,-88.40253343,2.79014655,148.2243515,LTE,-87.76167609,-94.54958589,-89.96694023
1901,Boring Canal Road,-88.2648237,2.752778051,143.4058777,LTE,-85.31130949,-93.91457721,-86.18618748
1902,Boring Canal Road,-85.94706306,9.170532718,98.18648893,4G,-82.10064182,-95.41183977,-85.15968615
1903,Patliputra Colony,-98.3061635,1.910022507,194.8762655,LTE,-95.70481746,-106.846092,-97.55831998
1904,Rajendra Nagar,-99.83322511,8.363404429,94.75620113,4G,-101.9649475,-107.3886759,-98.44171459
1905,Danapur,-96.66228998,73.83794039,21.18894517,5G,-98.62052921,-103.1307866,-98.61183409
1906,Pataliputra,-93.22578547,6.485782922,76.20071104,4G,-90.00853075,-99.64027824,-95.80095801
1907,Anandpuri,-90.33748192,1.406300876,189.0268438,LTE,-87.79886828,-97.52092662,-89.43697755
1908,Kidwaipuri,-94.94101184,15.62221589,28.11782588,5G,-93.61232492,-103.777572,-97.19436745
1909,Kumhrar,-82.0352895,18.27021189,31.63925898,5G,-85.19009371,-89.967156,-83.91210184
1910,Danapur,-98.90980101,61.07715187,29.39604747,5G,-102.9177856,-107.5737447,-97.46766389
1911,Patliputra Colony,-96.48933367,80.15282592,43.62785887,5G,-94.81416478,-105.0273611,-95.23264625
1912,Phulwari Sharif,-99.15459582,93.762294,12.95603128,5G,-99.52728757,-108.1633127,-100.0195647
1913,Kidwaipuri,-95.24325221,6.460800345,93.57556308,4G,-91.32213081,-102.3099312,-96.55482728
1914,Kumhrar,-82.43709281,1.928900784,175.9053569,LTE,-86.6841357,-89.89197293,-80.5976269
1915,S.K. Puri,-91.18232872,74.6699885,47.65569398,5G,-88.38641311,-99.66060018,-89.62759411
1916,Boring Canal Road,-92.89441509,1.493459303,167.2532252,LTE,-93.02495512,-102.0840789,-93.04624468
1917,Danapur,-90.30528558,8.790230663,95.84158762,4G,-89.15645153,-98.81131923,-89.22646631
1918,Patliputra Colony,-87.27921463,9.024539328,54.96049638,4G,-91.02247456,-92.73085557,-85.21650804
1919,Boring Road,-93.42819086,5.708482793,61.21260975,4G,-97.18641312,-98.80077621,-92.22853337
1920,Kumhrar,-89.4526456,1.757509927,192.1007415,LTE,-87.59210173,-99.08283031,-86.85632273
1921,Kankarbagh,-95.23904901,37.46281632,36.75085411,5G,-99.83997188,-102.8859509,-96.81551491
1922,Anisabad,-91.65748583,2.167986953,154.1802005,LTE,-90.83518528,-97.35690957,-93.456768
1923,Exhibition Road,-87.88260209,55.33577535,44.99281864,5G,-84.07212388,-94.15767577,-87.62765508
1924,Gardanibagh,-94.75266796,61.73699403,10.33624535,5G,-98.08666091,-102.2598477,-93.27910961
1925,Boring Road,-82.64295584,5.473833483,94.89522241,4G,-85.639541,-91.5323037,-81.66077047
1926,Anisabad,-93.86509082,1.086204357,155.2961741,LTE,-89.55991946,-103.4277883,-96.12593543
1927,Kankarbagh,-89.59994487,52.46496475,12.16455786,5G,-91.02241194,-96.38837238,-88.72246259
1928,Fraser Road,-91.50688195,28.75414695,39.61020455,5G,-94.09624677,-97.35833028,-92.08595175
1929,Kidwaipuri,-96.15890264,25.88837941,22.28924346,5G,-98.46024526,-104.743433,-93.33994477
1930,Pataliputra,-101.2832921,40.65790131,31.3264425,5G,-103.8069748,-108.7000815,-98.78584423
1931,Patliputra Colony,-96.41235656,27.77461522,34.64408965,5G,-97.06757494,-103.0789853,-93.57191881
1932,Exhibition Road,-89.26077121,3.052329105,89.99243212,4G,-88.0835978,-95.60880453,-86.85424798
1933,Bailey Road,-84.31066447,1.917830376,189.0926089,LTE,-89.019942,-93.01363036,-84.03600871
1934,Kidwaipuri,-90.75446059,5.396000724,85.88048724,4G,-94.33329933,-98.46674784,-92.65268222
1935,Rajendra Nagar,-99.43300328,6.726440728,91.75057093,4G,-102.8467967,-106.2353452,-102.3247909
1936,Pataliputra,-90.38876311,5.633315571,69.75550789,4G,-87.5267262,-98.3572907,-91.96914958
1937,S.K. Puri,-90.59335855,2.672072618,126.4848644,LTE,-93.48761475,-96.57888309,-90.92813403
1938,Kumhrar,-85.13989985,63.42857781,23.84087043,5G,-84.69199375,-92.22288946,-83.57532297
1939,Kumhrar,-91.61479133,1.335779487,116.7465664,LTE,-93.43505365,-101.2764613,-91.35954624
1940,Rajendra Nagar,-92.06110449,93.8225889,49.45909667,5G,-96.89698723,-98.47520531,-89.69317178
1941,Boring Road,-89.78710485,3.500109075,60.07272869,4G,-90.70300067,-95.24682541,-90.2925347
1942,Kidwaipuri,-95.42666358,70.58032525,39.21192957,5G,-98.44983317,-101.957649,-98.370797
1943,Kidwaipuri,-93.87886723,47.18537584,40.80137569,5G,-90.01128639,-101.5005531,-94.94155015
1944,Kankarbagh,-83.22844314,5.255861037,57.06297077,4G,-78.82520485,-90.65417458,-81.77716114
1945,Gardanibagh,-96.79922609,1.019448685,110.3617743,LTE,-93.91444763,-104.8505073,-99.52626692
1946,Fraser Road,-90.40194513,5.269272267,54.46790022,4G,-92.35959781,-95.46511802,-88.4744364
1947,Rajendra Nagar,-93.90314676,17.19273553,29.40854112,5G,-89.65740772,-100.4764351,-92.20963073
1948,Exhibition Road,-97.99551094,2.924560118,126.6064946,LTE,-98.29558067,-105.7172954,-98.15689982
1949,Anandpuri,-81.20638893,2.074672844,153.534589,LTE,-84.22752819,-89.79049032,-81.28068419
1950,Pataliputra,-87.20167631,31.214347,13.37021085,5G,-87.77831713,-94.39512674,-87.14497838
1951,Kumhrar,-90.09498238,8.384994867,91.20979777,4G,-87.22004191,-97.85854259,-88.59519767
1952,Gandhi Maidan,-92.73183809,97.62236307,29.29541006,5G,-88.10726505,-102.5582576,-95.51750181
1953,Ashok Rajpath,-98.17483696,48.84053859,43.83200408,5G,-97.61963694,-104.0015529,-97.50484925
1954,Boring Road,-92.22376803,82.87460473,30.55520135,5G,-95.64604383,-99.85622688,-89.4440371
1955,Kankarbagh,-87.2293008,1.415138154,143.1786601,LTE,-82.32816126,-96.58684634,-87.37718147
1956,Bankipore,-87.9481965,6.060708439,55.08086783,4G,-92.29494114,-97.86679449,-88.03626071
1957,Boring Canal Road,-87.55038697,1.296294523,134.4645629,LTE,-84.25196924,-94.78381479,-87.26855801
1958,Kankarbagh,-93.87386254,1.250962227,181.6149516,LTE,-96.00330034,-100.8604631,-95.39975953
1959,Exhibition Road,-81.49235042,6.70187336,52.84867134,4G,-86.09703882,-91.46686652,-81.34529736
1960,Kidwaipuri,-85.49616794,3.565107432,91.48973447,4G,-81.59387769,-91.75287924,-86.80819126
1961,Kankarbagh,-90.76916064,69.74929537,35.97707403,5G,-92.31329975,-96.91620993,-93.59044274
1962,Pataliputra,-94.52392568,42.07603471,13.74721771,5G,-89.89849584,-100.8778246,-95.46922643
1963,Anandpuri,-85.07596276,2.519250278,190.0981704,LTE,-88.74586582,-91.62189716,-84.19007335
1964,Danapur,-91.72777614,8.624185227,68.859846,4G,-95.8781574,-98.09300456,-88.85937708
1965,Patliputra Colony,-91.24258908,1.955469708,166.4547045,LTE,-94.55608715,-96.73374444,-89.71793687
1966,S.K. Puri,-89.38459656,2.123775678,128.8638185,LTE,-92.80084741,-96.34991813,-92.10260441
1967,Fraser Road,-86.15395772,9.427900033,52.41913296,4G,-82.17835228,-92.70156175,-86.7257296
1968,Kumhrar,-92.19137623,98.76558482,44.51370667,5G,-90.79479972,-102.1456983,-93.41582526
1969,Danapur,-95.65820378,4.720500297,68.70124729,4G,-92.10352248,-103.3462407,-93.10028899
1970,Pataliputra,-93.73262858,49.04437269,13.35523081,5G,-98.292933,-98.84205485,-90.90168259
1971,Ashok Rajpath,-89.07869679,4.654005923,53.64839976,4G,-89.86042069,-95.53520463,-90.25135829
1972,Gardanibagh,-91.63940017,9.690544738,76.20481868,4G,-88.15506746,-97.50752628,-88.99166633
1973,Danapur,-100.6886546,4.7335414,63.87005225,4G,-96.10502636,-109.182346,-99.92720606
1974,Kidwaipuri,-86.03486798,1.054726678,145.5861697,LTE,-83.76159407,-95.85383245,-85.41546718
1975,Danapur,-96.51228506,6.089062753,82.61948042,4G,-95.77173811,-103.9070468,-94.48625075
1976,Kankarbagh,-93.45238833,2.35582752,111.1064455,LTE,-93.79681616,-102.7054611,-91.36465123
1977,Anisabad,-98.42637495,6.869062199,89.4646961,4G,-95.45413835,-107.270627,-99.69667775
1978,Boring Road,-90.48999646,6.734179175,63.52118366,4G,-92.2630385,-96.59000862,-88.28989868
1979,Anandpuri,-99.02178166,8.666624704,69.80078785,4G,-97.56461913,-105.8076088,-98.13285075
1980,Boring Canal Road,-88.05504067,5.488849392,79.66357236,4G,-84.50282155,-94.63924147,-90.6625483
1981,Danapur,-97.3778203,23.65566739,40.78984096,5G,-95.03628426,-105.9391411,-98.02229496
1982,Fraser Road,-90.32356081,7.277286646,89.44952694,4G,-89.29199666,-96.36371778,-91.95185256
1983,Danapur,-91.60246395,2.032825494,136.2935986,LTE,-91.57048884,-97.51045113,-93.5043847
1984,Anandpuri,-86.71472789,2.107961875,183.1558254,LTE,-87.09927026,-92.77289853,-85.88616815
1985,Boring Road,-96.24911347,9.747128172,68.90492895,4G,-94.16194383,-103.2571986,-98.99126244
1986,Anandpuri,-92.71582273,7.399264358,94.09691229,4G,-92.26291378,-101.9048827,-93.09515982
1987,Ashok Rajpath,-87.36976236,9.901264559,74.7748534,4G,-91.26501744,-94.87574895,-87.15926441
1988,S.K. Puri,-91.51922637,2.055148205,141.2333103,LTE,-96.09457288,-97.75357974,-88.87039654
1989,Anandpuri,-96.25950814,2.042936118,180.4041845,LTE,-96.19196459,-103.2122715,-95.59889245
1990,Exhibition Road,-90.18097584,3.348470892,76.58351289,4G,-94.18634386,-96.20793763,-92.84073745
1991,Kankarbagh,-96.73373737,4.603521786,86.92029527,4G,-93.46275642,-102.5523606,-97.26447596
1992,Ashok Rajpath,-93.01515062,1.058995351,169.1076261,LTE,-88.15666975,-101.4699899,-90.43615045
1993,Boring Road,-98.87866412,75.98392921,21.02707613,5G,-97.7795104,-104.6454657,-96.85645745
1994,Kidwaipuri,-86.49792237,7.046541885,95.78058164,4G,-83.00349578,-93.73435791,-85.07586
1995,Gardanibagh,-87.46422273,2.943398244,173.7300596,LTE,-83.71484203,-92.60844983,-88.19535657
1996,Phulwari Sharif,-89.08496572,1.18967877,101.5175091,LTE,-85.69873805,-98.19800263,-91.62478338
1997,Gandhi Maidan,-89.22474283,79.55368952,39.64384014,5G,-87.18197751,-95.77523805,-89.13236685
1998,Kankarbagh,-95.92143571,8.593444833,96.50506438,4G,-92.99649222,-103.45714,-93.91090212
1999,Fraser Road,-100.4634793,35.87399281,42.89857213,5G,-101.1863444,-108.6123583,-97.79291514
2000,Boring Road,-90.43078807,43.06909433,38.1304489,5G,-85.52855592,-98.40401927,-87.9191894
2001,Kumhrar,-100.710695,72.23668481,21.64274384,5G,-103.6935117,-106.9744356,-101.5334865
2002,Danapur,-87.67871117,1.388246806,145.8427051,LTE,-82.81502946,-97.52562091,-86.49876651
2003,Bankipore,-86.1759445,93.81436769,30.42216231,5G,-90.04370222,-93.21830339,-83.20376443
2004,Ashok Rajpath,-87.85983729,6.802230347,54.73694859,4G,-84.99999148,-96.85903266,-87.4970508
2005,S.K. Puri,-85.57140943,2.195173557,129.7795843,LTE,-84.98818774,-93.41128084,-82.66312725
2006,Anandpuri,-93.43960514,10.12565877,19.03619758,5G,-92.83038916,-98.56213242,-92.20823113
2007,Phulwari Sharif,-89.50059208,1.918682221,133.2582447,LTE,-93.56931715,-95.39567752,-91.48464992
2008,Bankipore,-98.84939303,88.53329049,31.94477978,5G,-95.78343257,-104.6066328,-100.3768227
2009,Anisabad,-97.98748233,7.139504107,82.45708711,4G,-94.21592221,-106.7965906,-95.64670177
2010,Exhibition Road,-86.13036693,2.550210161,115.3419697,LTE,-85.20467904,-94.01830544,-83.95853446
2011,Kumhrar,-95.04181748,2.542184148,132.324066,LTE,-96.31298387,-102.4636333,-95.96652478
